song_artist,song_name
ronnie milsap,let my love be your pillow
bay city rollers,you made me believe in magic
b.b. king,hold on (i feel our love is changing)
elephant man,opera wine
dion & the belmonts,a lover's prayer
burning spear,cry blood africans
unkle,u.n.k.l.e. main title theme
israel vibration,try again
joe jackson,baby stick around
willie nelson,funny how time slips away
blues saraceno,hangin' tree
nina simone,i love your lovin' ways
billy joel,she's right on time
gang starr,code of the streets
barbra streisand,don't rain on my parade
jon kennedy,tonto rides the gain
george lam,分分鐘需要你
gary allan,life ain't always beautiful
siouxsie and the banshees,the killing jar
carly simon,coming around again
lyle lovett,which way does that old pony run
dave matthews band,the space between
new york dolls,private world
drake,own it
marshall crenshaw,try
keith urban,days go by
meshuggah,sickening
death from above 1979,freeze me
firehouse,love of a lifetime
andy williams,the twelfth of never
robert glasper experiment,find you
madonna,till death do us part
gerry rafferty,mattie's rag
etta james,tears of joy
paul young,every time you go away
muddy waters,i got my brand on you
stevie nicks,after the glitter fades
the tubes,white punks on dope
jr. walker & the all stars,"take me girl, i'm ready"
the mamas & the papas,i call your name
inxs,elegantly wasted
asleep at the wheel,chattanooga choo choo
blind faith,do what you like
parmalee,day drinkin'
system of a down,prison song
blues traveler,stand
dave koz,got to get you into my life
jon lucien,would you believe in me
elvis presley,puppet on a string
the five satins,in the still of the night
dean martin,c'est si bon
eric clapton,dear mr. fantasy
band of skulls,blood
steppenwolf,the pusher
the smithereens,only a memory
morphine,let's take a trip together
modern english,i melt with you
eric clapton,i can't stand it
dilated peoples,live on stage
run–d.m.c.,it's tricky
alvino rey,night train
drive-by truckers,goddamn lonely love
joe nichols,everything's a thing
prince buster,too hot
stezo,le prix à payer
baillie & the boys,(now and then there's) a fool such as i
george jones,walls can fall
zedd,clarity
morphine,gone for good
johnny maestro,trouble in paradise
lightnin' hopkins,bottle it up and go
skindred,the beginning of sorrows
mavis staples,i have learned to do without you
young mc,bust a move
eric clapton,loving your lovin'
waylon jennings,pretend i never happened
slightly stoopid,glocks
don gibson,blue dream
chevelle,comfortable liar
the allman brothers band,the judgment
the neighbourhood,middle of somewhere
gregory isaacs,jah music
korn,lies
phil collins,inside out
"hank williams, jr.",ramblin' man
heartless bastards,the will song
demi lovato,confident
neil diamond,stones
crystal gayle,you never gave up on me
sugar minott,never gonna give up jah
lizz wright,speak your heart
nofx,perfect government
michael jackson,black or white
lorde,the love club
the gourds,gin and juice
steve tyrell,you'd be so nice to come home to
keiko matsui,across the sun
tanya tucker,it's a cowboy lovin' night
israel vibration,strength of my life
r+r=now,change of tone
taj mahal,butter
roy ayers ubiquity,ain't got time
israel vibration,jah love me
system of a down,mr. jack
the king khan & bbq show,animal party
conway twitty,goin' home
muse,stockholm syndrome
ministry,so what
bon jovi,living in sin
charley pride,you win again
green day,86
stephen bishop,on and on
porter wagoner,i wanna go home
horace andy,natural mystic
foster the people,pumped up kicks
timothy b. schmit,so much in love
das efx,40 & a blunt
the replacements,color me impressed
jeff beck,shrine
queen,keep passing the open windows
emmylou harris,hickory wind
louis armstrong,"it's been a long, long time"
p!nk,leave me alone (i'm lonely)
desmond cheese,let it slide
tammy wynette,when there's a fire in your heart
basia,half a minute
breaking benjamin,into the nothing
jim reeves,little ole you
u2,i will follow
bruce springsteen,if i should fall behind
jethro tull,sweet dream
the vaughan brothers,long way from home
waka flocka flame,rap game stressful
dennis wilson,album tag song
diamond rio,one more day
kygo,stole the show
ricky nelson,true love
wings,big barn bed
billie holiday,april in paris
taste,railway and gun
billy vaughn,yours
dennis wilson,you and i
john denver,we wish you a merry christmas
jonas brothers,much better
hank snow,blue for old hawaii
passafire,souvenir
johnny clarke,fittest of the fittest
tool,forty six & 2
shag rock,lip addiction
merle haggard,big butter and egg man
santana,transcendance
graham central station,the jam
junior kimbrough,crawling king snake
jim croce,the hard way every time
the wood brothers,singin' to strangers
groove armada,chicago
manfred mann's earth band,adolescent dream
george benson,the world is a ghetto
the clash,inoculated city
fine young cannibals,good thing
gov't mule,look on yonder wall
slim harpo,i'm a king bee
better than ezra,in the blood
walter wolfman washington,lost mind
"emerson, lake & palmer",still... you turn me on
black flag,slip it in
marty robbins,who at my door is standing
mötley crüe,use it or lose it
das efx,jussummen
thee oh sees,fu xi
cream,passing the time
grouplove,let me in
sepultura,territory
toadies,backslider
bone thugs-n-harmony,do you remember?
don gibson,above and beyond
skillet,comatose
michael henderson,riding
bounty killer,can't believe mi eyes
dispatch,letter to lady j
al b. sure!,killing me softly
kylie minogue,hand on your heart
madonna,love song
lefty frizzell,preparations to be blue
galactic,cineramascope (featuring trombone shorty and corey henry)
tribal theory,burnin'
jason aldean,black tears
eric church,hippie radio
kruder & dorfmeister,definition
crowder,red letters
jimmy thackery and the drivers,drive to survive
heart,rock and roll
neil sedaka,as long as i live
johnny lee,dreams die hard
judy collins,maid of constant sorrow
radiohead,paranoid android
paolo fresu,mare nostrum
granger smith,backroad song
b.b. king,"i've got papers on you, baby"
pixies,dead
queen,spread your wings
sarah vaughan,easy living
lata mangeshkar,chupke chupke (from ''paying guest'')
the cure,friday i'm in love
louis armstrong,la vie en rose
david allan coe,sweet angeline
jethro tull,jack-a-lynn
leon redbone,step it up and go
minutemen,theatre is the life of you
marilyn manson,great big white world
rihanna,what's my name?
the association,requiem for the masses
perry como,he's got the whole world in his hands
herbie hancock,the tea leaf prophecy (lay down your arms)
emmylou harris,long may you run
yoke lore,beige
slave,steal your heart
jamie cullum,where is your heart at?
caro emerald,paris
ziggy marley,kozmik
ky-mani marley,rule my heart
michael jackson,off the wall
johnny cash,i forgot to remember to forget
the paragons,a silver bird
peter bradley adams,the longer i run
astrud gilberto,a certain smile
pudgee,think big (feat. b.i.g. & lord tariq)
simply red,stars
kanye west,hold my liquor
tim mcgraw,my next thirty years
tesseract,deception
faces,just another honky
snarky puppy,too hot to last
blues saraceno,run on
elvis presley,surrender
the abyssinians,jah loves
denis solee,one for my baby
the cramps,primitive
warren zevon,tule's blues
ky-mani marley,heart of a lion
the melodians,lonely night
the microphones,"the glow, pt. 2"
kenny rogers,i want to make you smile
blues traveler,fallible
abstract rude,drug war
marilyn manson,kill4me
gordon lightfoot,your love's return
lorde,everybody wants to rule the world
ty herndon,i have to surrender
devin townsend band,vampira
michael jackson,in our small way
brooklyn funk essentials,i got cash
alessia cara,ready
minutemen,corona
adele,hometown glory
the box tops,"sweet cream ladies, forward march"
russell dickerson,man in the mirror
red,pieces
iron maiden,killers
"""weird al"" yankovic",eat it
the revolutionaries,spinning dub
dennis brown,concentration
michael franks,i love lucy
pepper,zicky's song
glenn miller,elmer's tune
stetsasonic,go stetsa i
the meters,stop that train
stone sour,absolute zero
basia,not an angel
nitty gritty dirt band,keep on the sunny side
harry nilsson,bath
big brother & the holding company,piece of my heart
reba mcentire,he broke your memory last night
talk talk,life's what you make it
perry como,here we come a-caroling / we wish you a merry christmas
st germain,land of...
waylon jennings,yours love
fortunate youth,melody
jim reeves,two shadows on your window
modest mouse,perfect disguise
kenny loggins,meet me half way
wire,ex lion tamer
bo diddley,goin' down slow
alive 'n kickin',"tighter, tighter"
robin trower,messin' the blues
sam cooke,they call the wind maria
dinosaur jr.,feel the pain
denis solee,all the way
sonic youth,sacred trickster
judas priest,grinder
the platters,whispering wind
rare earth,ma
the style council,walls come tumbling down
elvis costello & the attractions,i can't stand up for falling down
peter tosh,babylon queendom
eric clapton,don't wait (feat. john mayer)
stan mosley,rock me
humble pie,old time feelin'
george strait,any old time
porter wagoner,sorrow's tearing down the house (that happiness once built)
lukas nelson and promise of the real,don’t lose your mind
tony bennett,love is here to stay
avalon,testify to love
ernest tubb,thanks a lot
ky-mani marley,i'm back
the everly brothers,so sad (to watch good love go bad)
say anything,i want to know your plans
kenny rogers,crazy
jefferson starship,layin' it on the line
childish gambino,you see me
grand puba,i like it (i wanna be where you are)
green day,geek stink breath
conway twitty,judge of hearts
steve winwood,higher love
billie holiday,it's not for me to say
blues saraceno,the dark horse always wins
lee perry & the upsetters,dread locks
peggy lee,he's a tramp
three days grace,break
captain beefheart & his magic band,tropical hot dog
mercyful fate,melissa
fever ray,if i had a heart
robert johnson,stop breakin' down blues
the pretty things,old man going
jonny lang,one person at a time
"albert hammond, jr.",coming to getcha
kodak black,calling my spirit
charlie haden,this is not america
senses fail,can't be saved
alan jackson,when love comes around
pete townshend,save it for later
bastille,quarter past midnight
pete rock & c.l. smooth,worldwide
little feat,feats don't fail me now
stick figure,ring the alarm
john mayer,all we ever do is say goodbye
ambrosia,fool like me
the brothers four,sama kama wacky brown
miley cyrus,butterfly fly away
radio moscow,new beginning
michael franti & spearhead,i’m alive (life sounds like)
jerry vale,non dimenticar
tony yayo,i'm so high
jimi hendrix,can you see me
brothers osborne,arms of fire
john anderson,long hard lesson learned
new kingston,protect me (feat. the wailing souls)
sammy hagar,there's only one way to rock
oli brown,no diggity
new edition,mr. telephone man
nitty gritty dirt band,shadow dream song
b.b. king,all over again
the expendables,drift away
machine gun kelly,bad mother f*cker
dennis brown,ain't that loving you
the charlie daniels band,big bad john
klim,ninetofive
(hed) p.e.,suck it up
the faceless,an autopsy
the modern lovers,modern world
thee oh sees,meat step lively
the communards,don't leave me this way (with sarah jane morris)
lee brice,upper middle class white trash
america,she's a runaway
ramp,i just love you
new age steppers,some love
mercyme,greater
creed,are you ready?
pearl jam,why go
deftones,street carp
don gibson,i wish it had been a dream
hieroglyphics,opio
the wreckers,way back home
bobby bare,music city usa
boozoo bajou,same sun
seaforth,good and gone
bing crosby,dream a little dream of me
alice in chains,black gives way to blue
the marshall tucker band,24 hours at a time
hank snow,miller's cave
noah kahan,cynic
? & the mysterians,96 tears
the fixx,stand or fall
montrose,bad motor scooter
three dog night,feeling alright
david allan coe,gone (like)
willie nelson,things i might have been
kansas,questions of my childhood
phil collins,find a way to my heart
radio birdman,descent into the maelstrom
k.t. oslin,do ya'
jason boland & the stragglers,tulsa time
the motels,suddenly last summer
bruno mars,perm
mikey dread,rocky road
carl smith,slowly
dolly parton,he's alive
barry manilow,mandy
the black angels,bloodhounds on my trail
ruby and the romantics,moonlight and music
sonny & cher,it's the little things
the beach boys,"caroline, no"
chaka khan,i was made to love him
bullet for my valentine,over it
hours eastly,shoot me dead
bobby bare,help me make it through the night
dead prez,it's bigger than hip hop uk
johnny cash,happiness is you
justin bieber,fall
harlem,someday soon
blue foundation,eyes on fire
wayne wonder,nobody but me
lauren alaina,the locket
barry manilow,tryin' to get the feeling again
joan baez,dida
g. love & special sauce,breakin' up
johnny cash,suppertime
jethro tull,slow marching band
hieroglyphics,casual
leprous,stuck
widespread panic,better off
kid rock,i got one for ya'
the yardbirds,still i'm sad
ella fitzgerald,just you just me
the moody blues,don't you feel small
the stooges,search and destroy
susan tedeschi,soul of a man
the xx,stars
joe bonamassa,so it's like that
jimi hendrix,house burning down
jamie n commons,won't let go
metric,gimme sympathy
dwight yoakam,pocket of a clown
john mayer,"friends, lovers or nothing"
rainbow kitten surprise,shameful company
newsboys,we believe
neil sedaka,the same old fool
the the,the sinking feeling
system of a down,innervision
chevelle,forfeit
whitesnake,love ain't no stranger
teenage fanclub,star sign
doris day,our day will come
greater vision,my name is lazarus
mission of burma,this is not a photograph
blues traveler,when you fall down
k.d. lang,i wish i didn't love you so
dion,lonely world
dreamers,screws
passafire,growing up
beastie boys,car thief
george strait,cow town
crowder,forgiven
nina simone,peace of mind
b.t. express,peace pipe
the flaming lips,in the morning of the magicians
george jones,take the devil out of me
freddie mcgregor,somewhere
cultura profética,pal’ río tanamá
demi lovato,this is our song
stonewall jackson,tears on her bridal bouquet
jelly roll,zombie (feat. madchild & insane clown posse)
buddy guy,mother-in-law blues
they might be giants,the guitar
marty robbins,beyond the reef
r. city,losin' it
lil wyte,"homicidal, suicidal"
joy division,twenty four hours
motörhead,orgasmatron
bear hands,giants
louis jordan & his tympany five,beans and cornbread
anita baker,you're the best thing yet
louis armstrong,my bucket's got a hole in it
jason aldean,wide open
metallica,my apocalypse
metallica,holier than thou
sum 41,over my head (better off dead)
ray price,the twenty-fourth hour
fleetwood mac,seven wonders
roberta flack,river
iggy pop,sister midnight
coldplay,violet hill
queen,save me
38 special,money honey
kip moore,somethin' 'bout a truck
slayer,live undead
meshuggah,soul burn
waylon jennings,will the wolf survive?
luciano,when will i be home?
gary allan,i just got back from hell
capleton,bun babylon
clay walker,money can't buy (the love we had)
skillet,monster
the kills,superstition
jonny lang,wander this world
louis armstrong,the memphis blues (or mister crump)
emmylou harris,your long journey
information society,walking away
gregory porter,holding on
blind willie johnson,it's nobody's fault but mine
muse,follow me
miles davis,bye bye blackbird
half pint,young and innocent
jean-luc ponty,mirage
the everly brothers,"oh, true love"
"earth, wind & fire",let me talk
rage against the machine,people of the sun
megadeth,angry again
cheap trick,ain't that a shame
he is we,i wouldn't mind
tom petty and the heartbreakers,letting you go
donna summer,sunset people
matt maher,your grace is enough
luke bryan,first love song
radiohead,bodysnatchers
mike & the mechanics,over my shoulder
the impressions,long long winter
delbert mcclinton,under suspicion
phoebe snow,"do right woman, do right man"
carole king,child of mine
the clash,overpowered by funk
king crimson,one time
major lazer,powerful
mikey dread,pave the way
andy griggs,i'll go crazy
k.t. oslin,didn't expect it to go down this way
bill haley & his comets,jamaica d.j.
lou reed,romeo had juliette
ray campi,loretta
michael franks,coming to life
ndidi o,rise up
chris ledoux,national finals rodeo
tori kelly,i was made for loving you
bushman,fire bun a weak heart
post malone,wow.
the record company,roll bones
dennis wilson,holy man
craig morgan,redneck yacht club
"bobby ""blue"" bland",i pity the fool
daryl hall & john oates,rich girl
the fray,how to save a life
diana krall,squeeze me
the flaming lips,ego tripping at the gates of hell
david allan coe,thief in my bedroom
red cafe,champagne for the pain
green day,good riddance (time of your life)
margo guryan,timothy gone
wire,used to
dave davies,reveal yourself
steve wariner,leave him out of this
dixie chicks,a home
stoney larue,down in flames
ted nugent,flesh & blood
lefty frizzell,if you're ever lonely darling
pennywise,pennywise
eric clapton,got you on my mind
grandmaster flash & the furious five,white lines (long version) [re-recorded]
kanye west,barry bonds
the kills,hook and line
seether,against the wall
erroll garner,exactly like you
cody johnson,billy's brother
bob marley & the wailers,"roots, rock, reggae"
tyga,make it nasty
beenie man,monster look
engelbert humperdinck,take my heart
boney james,you can count on me
neil sedaka,going home to mary lou
slave,wait for me
buzzcocks,ever fallen in love (with someone you shouldn't've?)
jah shaka,help
xtc,when you're near me i have difficulty
natasha bedingfield,these words
the kentucky headhunters,walk softly on this heart of mine
tony bennett,who can i turn to (when nobody needs me)
oasis,fuckin' in the bushes
keb' mo',henry
stacey kent,in the wee small hours of the morning
x,devil doll
chris cornell,nothing compares 2 u
metallica,the house jack built
whitesnake,gambler
matt maeson,hallucinogenics
survivor,ever since the world began
metallica,all nightmare long
lonestar,saturday night
the walters,life
diamond rio,long way back
bernard allison,crusin for a bluesin
jerry garcia,casey jones
sting,if i ever lose my faith in you
ann peebles,i can't stand the rain
metallica,last caress / green hell
the black keys,the desperate man
wishbone ash,phoenix
john hammond,don't start me talking
too $hort,blow the whistle
billy joel,the entertainer
aretha franklin,try a little tenderness
kid ory,12th street rag
tina turner,one of the living
les paul,dark eyes
groundation,the seventh seal
kenny chesney,i might get over you
beth hart,world without you
slade,harmony
mac miller,objects in the mirror
beenie man,haters and fools
molly hatchet,stone in your heart
air supply,two less lonely people in the world
marianne faithfull,broken english
beastie boys,the sounds of science
bill evans trio,i fall in love too easily
justin bieber,friends (with bloodpop®)
the mavericks,what a crying shame
ac/dc,shoot to thrill
willie nelson,don't you ever get tired (of hurting me)
the beach boys,auld lang syne
the outfield,moving target
linda ronstadt,love me tender
mýa,fallen
brian hyland,angel in my heart
trampled by turtles,wildflowers
the smashing pumpkins,window paine
ub40,madam medusa
patty loveless,timber i'm falling in love
pop evil,boss's daughter
willie nelson,a moment isn't very long
ballyhoo!,drink about you
dead moon,i tried
randy crawford,i've never been to me
johnny tillotson,it keeps right on a-hurtin'
yngwie malmsteen,"you don't remember, i'll never forget"
a tribe called quest,his name is mutty ranks
the score,the heat
glen campbell,early morning song
dezarie,sing out
ricky nelson,lonesome town
yung joc,i'm him
eric church,carolina
fabolous,young'n
wilco,poor places
nat king cole trio,lost april
taj mahal,paradise
korn,b.b.k.
susannah mccorkle,if i only had a heart
the black crowes,one mirror too many
jonathan butler,barenese
alan jackson,when we all get to heaven
kiefer,tubesocks
derrick harriott,message from a black man
little anthony & the imperials,hurt so bad
richard marx,chains around my heart
red foley,midnight
carole king,dancin' with tears in my eyes
jimmie vaughan,don't cha know
billie holiday,strange fruit
salt-n-pepa,shoop
electric light orchestra,bluebird
pepper,good enough
b.b. king,woke up this mornin'
whitesnake,standing in the shadow
eleven hundred springs,why you been gone so long
chubby checker,the killer
mötley crüe,all in the name of...
blondie,just go away
cake,nugget
krizz kaliko,way out
cymande,friends
between the buried and me,bloom
dwight yoakam,king of fools
jonny lang,to love again
backstreet boys,show me the meaning of being lonely
waylon jennings,one of my bad habits
bob dylan,i dreamed i saw st. augustine
drake,forever
the lemonheads,dawn can't decide
swans,big strong boss
bryson tiller,don't
kmfdm,a drug against war
new riders of the purple sage,hello mary lou
death from above 1979,better off dead
the holdup,head and money
robert plant,big log
black uhuru,general penitentiary
hirie,good vibration (feat. trevor hall)
gramatik,lonely & cold
betty carter,spring can really hang you up the most
k.t. oslin,"dr., dr."
johnny paycheck,sharon rae
the black keys,the flame
tedeschi trucks band,sweet and low
dean martin,that's what i like
shy glizzy,white girl
ja rule,kill 'em all
the used,blue and yellow
andy williams,canadian sunset
u2,god part ii
eddie rabbitt,i just want to love you
creedence clearwater revival,hey tonight
joe bonamassa,distant lonesome train
john prine,souvenirs
ingrid michaelson,be ok (acoustic)
sunny day real estate,faces in disguise
sleeping with sirens,the bomb dot com v2.0
pantera,hellbound
john lee hooker,it serves me right
siouxsie and the banshees,monitor
eric clapton,still got the blues
bleachers,i wanna get better
mitski,first love / late spring
traffic,sad and deep as you
linda ronstadt,you go to my head
descendents,rockstar
bob dylan,ain't no more cane
big l,mvp
willie nelson,stardust
sublime,cisco kid
electric light orchestra,evil woman
muse,mercy
don henley,how bad do you want it?
john denver,"don't close your eyes, tonight"
willie nelson,one has my name (the other has my heart)
cyndi lauper,true colors
jimmy johnson,cold cold feeling
madonna,fever
brothers osborne,love the lonely out of you
neon indian,deadbeat summer
slade,do you believe in miracles
johnny cash,come in stranger
nashville cast,sanctuary
johnny hartman,charade
stevie ray vaughan,life without you
alice cooper,i never cry
buddy knox,devil woman
ryan adams,two
tame impala,past life
sia,soon we'll be found
ocean alley,flowers and booze
dr. john,candy
tom petty,house in the woods
tony bennett,anything goes
rush,animate
the cranberries,how
herbie hancock,river
little walter,"boom, boom out goes the light"
gregory isaacs,my religion
musical youth,pass the dutchie
tammy wynette,the ways to love a man
don gibson,sweet dreams
johnny hates jazz,i don't want to be a hero
seals and crofts,love conquers all
harry belafonte,the next big river
korn,here to stay
wailing souls,thou shall not steal
montefiori cocktail,gipsy woman
robert cray,i'm walkin'
wipers,the lonely one
randy rogers band,just a matter of time
galantis,runaway (u & i)
olivia newton-john,carried away
big maybelle,candy
jonathan edwards,cold snow
5 seconds of summer,voodoo doll
the shouting matches,i need a change
the emotions,we go through changes
radiohead,the bends
freestyle,opm medley: when i met you
thee oh sees,ghost in the trees
the sheepdogs,let it all show
the allman brothers band,midnight blues
the mavericks,ain't found nobody
ronnie milsap,(i'd be) a legend in my time
andy williams,it's the most wonderful time of the year
del shannon,runaway
green day,prosthetic head
stephen marley,chase dem
van morrison,listen to the lion
ini kamoze,hole in the pumpkin
peter appleyard,smile
lord echo,thinking of you
george duke,"the morning, you & love"
the beatles,words of love
alpha & omega,show me a purpose
jah cure,the love of my life
the beach boys,your summer dream (stereo)
rupaul,sissy that walk
eagles,lyin' eyes
g. love & special sauce,astronaut
dean martin,i'm in love with you
akon,locked up
wax tailor,hypnosis theme
aretha franklin,border song (holy moses)
the dave clark five,hurtin' inside
the vines,ain't no room
marty robbins,red river valley
the impressions,gypsy woman
chezidek,all my life
snarky puppy,bardis
fats domino,i'm walkin'
lil wayne,they still like me
carla thomas,promises
supertramp,gone hollywood
magic!,no evil
mary chapin carpenter,something of a dreamer
mel tormé,too close for comfort
sons of zion,fill me up
tim mcgraw,if you're reading this
swingrowers,the queen of swing
alan jackson,up to my ears in tears
nat king cole,more
orbient,boarding
don williams,lay down beside me
descendents,christmas vacation
cocteau twins,aloysius
chicago,will you still love me?
newsboys,god's not dead (like a lion)
nas,can't forget about you
jamiroquai,emergency on planet earth
gilbert o'sullivan,alone again (naturally)
carrie underwood,undo it
"orlando ""cachaíto"" lópez","mis dos pequeñas (feat. angá díaz, amadito valdés, carlos gonzález & manuel galbán)"
link wray,switchblade
the mavericks,here comes the rain
reba mcentire,i've seen better days
dennis brown,wonders of the world
pat benatar,temporary heroes
sammy davis jr.,i'm gonna live till i die
stevie ray vaughan,wall of denial
deca,edenville
thee oh sees,ticklish warrior
nina simone,angel of the morning
the lumineers,gloria
paddy reilly,dirty old town
glen campbell,it's been so long darlin'
rufus,stay
xtc,towers of london
matchbox twenty,shame
needtobreathe,happiness
thin lizzy,philomena
marshall crenshaw,cynical girl
george jones,lonely christmas call
bad religion,give you nothing
sweet,blockbuster
ryan bingham,the weary kind
roxanne shante,roxanne's revenge (re-recorded)
maroon 5,just a feeling
maxi priest,life
pat benatar,prisoner of love
boz scaggs,heart of mine
buddy holly,ain't got no home
gram parsons,hearts on fire
bob seger,american storm
johnny paycheck,a heart don't need eyes
the blackbyrds,"do it, fluid"
tracy chapman,why?
bunny wailer,follow fashion monkey
a rocket to the moon,like we used to
seafret,wildfire
pretenders,i go to sleep
uncle tupelo,give back the key to my heart
wings,must do something about it
nanci griffith,lookin' for the time (workin' girl)
stone sour,get inside
van morrison,blue money
etta james,anything to say you're mine
lorrie morgan,we both walk
perry como,birth of the blues
slim gaillard,potato chips
the brand new heavies,brother sister
ike & tina turner,get back
james gang,things i could be
ken boothe,everything i own
indigenous,should i stay
eric paslay,she don't love you
tedeschi trucks band,"within you, without you"
linda ronstadt,sorrow lives here
jellyfish,that is why
paper lace,the night chicago died
maze,i love you too much
arc angels,paradise cafe
mic geronimo,hemmin' heads
garnett silk,it's growing
sonic youth,i dreamed i dream
eric darius,goin' all out
screamin' jay hawkins,i love paris
styx,a.d. 1928
primus,frizzle fry
josh turner,in my dreams
ella fitzgerald,you hit the spot
the blasters,american music
pink martini,the gardens of sampson & beasley
joe diffie,this is your brain
john mellencamp,the face of the nation
the psychedelic furs,the ghost in you
ashford & simpson,happy endings
"""weird al"" yankovic",i'll be mellow when i'm dead
l7,pretend we're dead
mötley crüe,new tattoo
ella fitzgerald,what is there to say?
lesley gore,if that's the way you want it
donny hathaway,voices inside (everything is everything)
george jones,i can't get there from here
the outfield,bangin' on my heart
otis redding,i'm a changed man
mulatu astatke,munayé (my muna)
jean shepard,"so wrong, so fast"
gentleman,leave us alone
vybz kartel,pretty position
willie nelson,i'm a memory
conway twitty,boogie grass band
aaron watson,off the record
judas priest,one shot at glory
busta rhymes,there's not a problem my squad can't fix
the platters,moonlight on the colorado
magic!,don't kill the magic
tracy lawrence,i got a feelin'
björk,enjoy
coldplay,we never change
rene liu,後來
billie holiday,guilty
gary burton,falling grace
chet baker,i fall in love too easily
"blood, sweat & tears",they
r.l. burnside,jumper hanging out on the line
blind pilot,three rounds and a sound
inxs,the stairs
aerosmith,dream on
j.j. cale,river boat song
shakatak,invitations
jim reeves,where do i go to throw a picture away
the wailers,put it on
the green,i will
tim buckley,song to the siren
the velvet underground,lonesome cowboy bill
foghat,fool for the city
josé gonzález,heartbeats
chris smither,no love today
juvenile,rodeo
bob dylan,stage fright
slim thug,ballers
wallows,pictures of girls
limp bizkit,eat you alive
gene autry,deep in the heart of texas
jj grey & mofro,mississippi
the black keys,lonely boy
bee gees,world
hank williams,my love for you (has turned to hate)
dr. john,let's make a better world
eddie money,she takes my breath away
john holt,do you want me
the highwaymen,angels love bad men
vybz kartel,without money
the dear hunter,life and death
chicago,just you 'n' me
hannah montana,we got the party
kim mitchell,go for soda
box car racer,and i
dr. john,since i fell for you
pj sin suela,lamento borincano
jelly roll,hate goes on
neko case,this tornado loves you
travis atreo,clean
alan jackson,walkin' the floor over me
mission of burma,that's how i escaped my certain fate
christina aguilera,hurt
betty carter,let's fall in love
todd rundgren,sweeter memories
jaydayoungan,hop out
nick lowe,all men are liars
ella fitzgerald,wait till you see her
patsy cline,just out of reach (of my two open arms)
whitney houston,i have nothing
three 6 mafia,that's right
the itals,in deh
pixies,no 13 baby
etta james,trust in me
phish,sand
leon ware,rockin' you eternally
don gibson,(prayer is the key to heaven) faith unlocks the door
diplo,revolution
pestilence,subordinate to the domination
lefty frizzell,how long will it take (to stop loving you)
uncle tupelo,high water
"royce da 5'9""",thing for your girlfriend
tonic,if you could only see
lady antebellum,if i knew then
sticky fingers,outcast at last
sonny landreth,blue tarp blues
tim buckley,the river
don gibson,almost
boom boom vibration,dem know
the allman brothers band,two rights
beastie boys,body movin'
bob marley & the wailers,jah is mighty
ween,loop de loop
the wood brothers,the muse
one drop,magdalena
the youngbloods,all my dreams blue
rhett akins,better than it used to be
pantera,yesterday don't mean shit
lucinda williams,those three days
de-phazz,cut the jazz
leonard cohen,take this waltz
brick,right back
sarah vaughan,the banana boat song
josh groban,the prayer (with charlotte church)
john lennon,jealous guy
muse,plug in baby
muddy waters,that's alright
alejandro escovedo,i was drunk
something corporate,hurricane
jessi colter,he called me baby
three days grace,wake up
alan jackson,in the garden
elvis presley,his hand in mine
thieving birds,"hey, leigh"
dr. john,mama roux
inner circle,book of rules
rob zombie,superbeast
slayer,skeletons of society
ballyhoo!,meathead
dolly parton,medley:
judas priest,painkiller
ben folds,annie waits
iration,falling
the waterboys,how long will i love you
snoop lion,smoke the weed
the fleetwoods,waking up alone
culture,this way
weather report,n.y.c.
alice cooper,no baloney homosapiens
midland,cheatin’ songs
little anthony & the imperials,i'm on the outside (looking in)
faith hill,piece of my heart
through the roots,fed up
lil scrappy,be real
isaiah rashad,heavenly father
radiohead,blow out
sawyer brown,i will leave the light on
r.e.m.,moral kiosk
aqua,around the world
a$ap rocky,purple swag
captain beyond,raging river of fear
meat puppets,the whistling song
manfred mann,the one in the middle
lead belly,alberta
ashanti,happy
sinéad o'connor,mandinka
band of skulls,hoochie coochie
clay walker,before the next teardrop falls
warren zevon,roland the headless thompson gunner
al jarreau,spain (i can recall)
elvis presley,"steadfast, loyal and true"
peter tosh,wanted dread and alive
bobby vee,more than i can say
gregory isaacs,slave driver (extended version)
mumford & sons,timshel
niykee heaton,bad intentions
mötley crüe,stick to your guns
rebelution,suffering
gang starr,jazz thing
ray price,let me talk to you
susan tedeschi,it hurt so bad
b.b. king,what can i do
billy joe shaver,ragged old truck
the dear hunter,we've got a score to settle
dean martin,the last time i saw paris
black noise,feel my flow
mark knopfler,sailing to philadelphia
lavern baker,still
dizzy gillespie,all the things you are
loudon wainwright iii,lullaby
rakim,it's the r
supersuckers,roadworn and weary
little texas,life goes on
brad mehldau,ron's place
steve wariner,heart trouble
al b. sure!,naturally mine
nina simone,solitude
travis scott,sweet sweet
wiz khalifa,remember you (feat. the weeknd)
stevie nicks,if i were you
sammy davis jr.,azure
roots radics,throw away your gun
social distortion,so far away
whiskey myers,good ole days (feat. brent cobb)
akon,lonely
xavier rudd,paper thin
augustus pablo,jah work
jean carn,free love
bill evans,autumn leaves
john holt,can't use me
madonna,material girl
jason donovan,too many broken hearts
joy division,atrocity exhibition
etta james,don't blame me
robert palmer,woke up laughing
ulver,soelen gaaer bag aase need
chuck berry,the man and the donkey
neil sedaka,i belong to you
the doobie brothers,don't start me to talkin'
colin james,chicks 'n cars (and the third world war)
b.b. king,save a seat for me
